year_born,age,total_count,retirement_centric_age_bins,decade_age_bins,work_age_bins,work_pre_fifty_age_bins
2022,0,676467,0-17,0-17,0-17,0-14
2021,1,700377,0-17,0-17,0-17,0-14
2020,2,697720,0-17,0-17,0-17,0-14
2019,3,720377,0-17,0-17,0-17,0-14
2018,4,733578,0-17,0-17,0-17,0-14
2017,5,749300,0-17,0-17,0-17,0-14
2016,6,772405,0-17,0-17,0-17,0-14
2015,7,795323,0-17,0-17,0-17,0-14
2014,8,819677,0-17,0-17,0-17,0-14
2013,9,826923,0-17,0-17,0-17,0-14
2012,10,842326,0-17,0-17,0-17,0-14
2011,11,846520,0-17,0-17,0-17,0-14
2010,12,870040,0-17,0-17,0-17,0-14
2009,13,859791,0-17,0-17,0-17,0-14
2008,14,865002,0-17,0-17,0-17,0-14
2007,15,860677,0-17,0-17,0-17,15-24
2006,16,870247,0-17,0-17,0-17,15-24
2005,17,851148,0-17,0-17,0-17,15-24
2004,18,839723,18-24,18-24,18-24,15-24
2003,19,822167,18-24,18-24,18-24,15-24
2002,20,815496,18-24,18-24,18-24,15-24
2001,21,813408,18-24,18-24,18-24,15-24
2000,22,820474,18-24,18-24,18-24,15-24
1999,23,765894,18-24,18-24,18-24,15-24
1998,24,758974,18-24,18-24,18-24,15-24
1997,25,743891,25-34,25-34,25-64,25-49
1996,26,748653,25-34,25-34,25-64,25-49
1995,27,748239,25-34,25-34,25-64,25-49
1994,28,735429,25-34,25-34,25-64,25-49
1993,29,742355,25-34,25-34,25-64,25-49
1992,30,778672,25-34,25-34,25-64,25-49
1991,31,792800,25-34,25-34,25-64,25-49
1990,32,815578,25-34,25-34,25-64,25-49
1989,33,820345,25-34,25-34,25-64,25-49
1988,34,833874,25-34,25-34,25-64,25-49
1987,35,833395,35-49,35-49,25-64,25-49
1986,36,845568,35-49,35-49,25-64,25-49
1985,37,843956,35-49,35-49,25-64,25-49
1984,38,834735,35-49,35-49,25-64,25-49
1983,39,822307,35-49,35-49,25-64,25-49
1982,40,872221,35-49,35-49,25-64,25-49
1981,41,876095,35-49,35-49,25-64,25-49
1980,42,887996,35-49,35-49,25-64,25-49
1979,43,837980,35-49,35-49,25-64,25-49
1978,44,820432,35-49,35-49,25-64,25-49
1977,45,820318,35-49,35-49,25-64,25-49
1976,46,797856,35-49,35-49,25-64,25-49
1975,47,823516,35-49,35-49,25-64,25-49
1974,48,864366,35-49,35-49,25-64,25-49
1973,49,904708,35-49,35-49,25-64,25-49
1972,50,925882,50-64,50-59,25-64,50-64
1971,51,919690,50-64,50-59,25-64,50-64
1970,52,897162,50-64,50-59,25-64,50-64
1969,53,884945,50-64,50-59,25-64,50-64
1968,54,872893,50-64,50-59,25-64,50-64
1967,55,869572,50-64,50-59,25-64,50-64
1966,56,891574,50-64,50-59,25-64,50-64
1965,57,892753,50-64,50-59,25-64,50-64
1964,58,900488,50-64,50-59,25-64,50-64
1963,59,885886,50-64,50-59,25-64,50-64
1962,60,853623,50-64,60-69,25-64,50-64
1961,61,850773,50-64,60-69,25-64,50-64
1960,62,844646,50-64,60-69,25-64,50-64
1959,63,836717,50-64,60-69,25-64,50-64
1958,64,812839,50-64,60-69,25-64,50-64
1957,65,805914,65+,60-69,65+,65+
1956,66,794656,65+,60-69,65+,65+
1955,67,782070,65+,60-69,65+,65+
1954,68,772943,65+,60-69,65+,65+
1953,69,753224,65+,60-69,65+,65+
1952,70,760137,65+,70+,65+,65+
1951,71,734168,65+,70+,65+,65+
1950,72,753377,65+,70+,65+,65+
1949,73,732849,65+,70+,65+,65+
1948,74,724727,65+,70+,65+,65+
1947,75,701743,65+,70+,65+,65+
1946,76,654738,65+,70+,65+,65+
1945,77,486462,65+,70+,65+,65+
1944,78,465963,65+,70+,65+,65+
1943,79,446028,65+,70+,65+,65+
1942,80,404687,65+,70+,65+,65+
1941,81,351219,65+,70+,65+,65+
1940,82,354530,65+,70+,65+,65+
1939,83,359132,65+,70+,65+,65+
1938,84,335864,65+,70+,65+,65+
1937,85,315671,65+,70+,65+,65+
1936,86,298780,65+,70+,65+,65+
1935,87,269985,65+,70+,65+,65+
1934,88,250686,65+,70+,65+,65+
1933,89,217076,65+,70+,65+,65+
1932,90,199857,65+,70+,65+,65+
1931,91,168877,65+,70+,65+,65+
1930,92,142597,65+,70+,65+,65+
1929,93,109814,65+,70+,65+,65+
1928,94,87303,65+,70+,65+,65+
1927,95,66844,65+,70+,65+,65+
1926,96,51070,65+,70+,65+,65+
1925,97,36806,65+,70+,65+,65+
1924,98,25698,65+,70+,65+,65+
1923,99,18312,65+,70+,65+,65+
1922,100,30022,65+,70+,65+,65+
