social_profession,age,prob_prof_given_age,prob_age,prob_social_profession,prob_age_given_prof
agri_exp,15-24,0.005,0.12078035064831673,0.016,0.03774385957759898
artisan_commerce_business_owner,15-24,0.017,0.12078035064831673,0.068,0.030195087662079186
professional_manager_tech,15-24,0.077,0.12078035064831673,0.217,0.042857543778434974
intermediate_prof,15-24,0.22699999999999998,0.12078035064831673,0.24600000000000002,0.11145178698035729
employee,15-24,0.384,0.12078035064831673,0.26,0.1783832871113601
blue_collar,15-24,0.27699999999999997,0.12078035064831673,0.18899999999999997,0.17701670438933195
unknown,15-24,0.013000000000000001,0.12078035064831673,0.004,0.3925361396070294
agri_exp,25-49,0.011000000000000001,0.30047775517543124,0.016,0.20657845668310898
artisan_commerce_business_owner,25-49,0.066,0.30047775517543124,0.068,0.29164017414085974
professional_manager_tech,25-49,0.23600000000000002,0.30047775517543124,0.217,0.3267868673797317
intermediate_prof,25-49,0.264,0.30047775517543124,0.24600000000000002,0.3224639323833896
employee,25-49,0.24,0.30047775517543124,0.26,0.27736408170039806
blue_collar,25-49,0.18100000000000002,0.30047775517543124,0.18899999999999997,0.2877591200357305
unknown,25-49,0.003,0.30047775517543124,0.004,0.22535831638157344
agri_exp,50-64,0.027000000000000003,0.19310615317397306,0.016,0.3258666334810796
artisan_commerce_business_owner,50-64,0.08800000000000001,0.19310615317397306,0.068,0.2499020805780828
professional_manager_tech,50-64,0.22399999999999998,0.19310615317397306,0.217,0.19933538392152056
intermediate_prof,50-64,0.21899999999999997,0.19310615317397306,0.24600000000000002,0.17191157538658572
employee,50-64,0.259,0.19310615317397306,0.26,0.19236343720022703
blue_collar,50-64,0.17800000000000002,0.19310615317397306,0.18899999999999997,0.18186717071411224
unknown,50-64,0.004,0.19310615317397306,0.004,0.19310615317397306
